2026-04-25 12:58:29 | INFO    | Training started — 7500 episodes, 50 max steps
2026-04-25 12:58:34 | INFO    | Episode    50 | Reward:  -2858.5 | Loss: 93.7952 | Epsilon: 0.992 | Buffer:   1565 | Speed: 9.7 ep/s
2026-04-25 12:58:40 | INFO    | Episode   100 | Reward:  -2946.9 | Loss: 91.6978 | Epsilon: 0.985 | Buffer:   3296 | Speed: 9.1 ep/s
2026-04-25 12:58:45 | INFO    | Episode   150 | Reward:  -2953.4 | Loss: 92.5530 | Epsilon: 0.977 | Buffer:   4910 | Speed: 9.1 ep/s
2026-04-25 12:58:51 | INFO    | Episode   200 | Reward:  -2794.6 | Loss: 91.4676 | Epsilon: 0.970 | Buffer:   6635 | Speed: 9.1 ep/s
2026-04-25 12:58:56 | INFO    | Episode   250 | Reward:  -2725.4 | Loss: 86.7378 | Epsilon: 0.962 | Buffer:   8221 | Speed: 9.1 ep/s
2026-04-25 12:59:02 | INFO    | Episode   300 | Reward:  -2840.8 | Loss: 87.3181 | Epsilon: 0.954 | Buffer:   9801 | Speed: 9.2 ep/s
2026-04-25 12:59:07 | INFO    | Episode   350 | Reward:  -2921.9 | Loss: 89.1686 | Epsilon: 0.947 | Buffer:  11535 | Speed: 9.1 ep/s
2026-04-25 12:59:13 | INFO    | Episode   400 | Reward:  -2888.4 | Loss: 86.3403 | Epsilon: 0.939 | Buffer:  13205 | Speed: 9.1 ep/s
2026-04-25 12:59:19 | INFO    | Episode   450 | Reward:  -2790.7 | Loss: 84.5635 | Epsilon: 0.931 | Buffer:  14947 | Speed: 9.1 ep/s
2026-04-25 12:59:24 | INFO    | Episode   500 | Reward:  -2814.3 | Loss: 83.1236 | Epsilon: 0.924 | Buffer:  16676 | Speed: 9.0 ep/s
2026-04-25 12:59:26 | INFO    | EVAL @ 500 | Reward=-6255.2 +/- 694.4 | IS=$680.26 | vs TWAP: -4683.0
2026-04-25 12:59:31 | INFO    | Episode   550 | Reward:  -2927.5 | Loss: 81.8739 | Epsilon: 0.916 | Buffer:  18197 | Speed: 8.8 ep/s
2026-04-25 12:59:37 | INFO    | Episode   600 | Reward:  -2944.6 | Loss: 81.3522 | Epsilon: 0.909 | Buffer:  19696 | Speed: 8.9 ep/s
2026-04-25 12:59:42 | INFO    | Episode   650 | Reward:  -2956.3 | Loss: 82.3067 | Epsilon: 0.901 | Buffer:  21439 | Speed: 8.9 ep/s
2026-04-25 12:59:48 | INFO    | Episode   700 | Reward:  -2874.0 | Loss: 82.9917 | Epsilon: 0.893 | Buffer:  23141 | Speed: 8.9 ep/s
2026-04-25 12:59:53 | INFO    | Episode   750 | Reward:  -2919.2 | Loss: 79.1362 | Epsilon: 0.886 | Buffer:  24799 | Speed: 8.9 ep/s
2026-04-25 12:59:59 | INFO    | Episode   800 | Reward:  -2898.3 | Loss: 78.2351 | Epsilon: 0.878 | Buffer:  26507 | Speed: 8.9 ep/s
2026-04-25 13:00:05 | INFO    | Episode   850 | Reward:  -3023.2 | Loss: 79.6624 | Epsilon: 0.871 | Buffer:  28156 | Speed: 8.9 ep/s
2026-04-25 13:00:10 | INFO    | Episode   900 | Reward:  -3242.5 | Loss: 79.5077 | Epsilon: 0.863 | Buffer:  29894 | Speed: 8.9 ep/s
2026-04-25 13:00:16 | INFO    | Episode   950 | Reward:  -2994.3 | Loss: 81.0567 | Epsilon: 0.855 | Buffer:  31475 | Speed: 8.9 ep/s
2026-04-25 13:00:22 | INFO    | Episode  1000 | Reward:  -2811.6 | Loss: 79.6009 | Epsilon: 0.848 | Buffer:  33420 | Speed: 8.9 ep/s
2026-04-25 13:00:24 | INFO    | EVAL @ 1000 | Reward=-6255.2 +/- 694.4 | IS=$680.26 | vs TWAP: -4683.0
2026-04-25 13:00:29 | INFO    | Episode  1050 | Reward:  -3084.4 | Loss: 78.5477 | Epsilon: 0.840 | Buffer:  35019 | Speed: 8.7 ep/s
2026-04-25 13:00:34 | INFO    | Episode  1100 | Reward:  -3166.2 | Loss: 79.8195 | Epsilon: 0.832 | Buffer:  36585 | Speed: 8.8 ep/s
2026-04-25 13:00:40 | INFO    | Episode  1150 | Reward:  -3055.0 | Loss: 79.1598 | Epsilon: 0.825 | Buffer:  38294 | Speed: 8.8 ep/s
2026-04-25 13:00:46 | INFO    | Episode  1200 | Reward:  -3084.4 | Loss: 79.2190 | Epsilon: 0.817 | Buffer:  39992 | Speed: 8.8 ep/s
2026-04-25 13:00:51 | INFO    | Episode  1250 | Reward:  -2798.9 | Loss: 77.7179 | Epsilon: 0.810 | Buffer:  41650 | Speed: 8.8 ep/s
2026-04-25 13:00:57 | INFO    | Episode  1300 | Reward:  -2780.6 | Loss: 74.7045 | Epsilon: 0.802 | Buffer:  43687 | Speed: 8.8 ep/s
2026-04-25 13:01:03 | INFO    | Episode  1350 | Reward:  -3032.1 | Loss: 73.0047 | Epsilon: 0.794 | Buffer:  45351 | Speed: 8.8 ep/s
2026-04-25 13:01:09 | INFO    | Episode  1400 | Reward:  -3016.4 | Loss: 72.2126 | Epsilon: 0.787 | Buffer:  47234 | Speed: 8.8 ep/s
2026-04-25 13:01:15 | INFO    | Episode  1450 | Reward:  -2888.0 | Loss: 73.3126 | Epsilon: 0.779 | Buffer:  49034 | Speed: 8.8 ep/s
2026-04-25 13:01:20 | INFO    | Episode  1500 | Reward:  -2805.4 | Loss: 72.7591 | Epsilon: 0.772 | Buffer:  50000 | Speed: 8.8 ep/s
2026-04-25 13:01:22 | INFO    | EVAL @ 1500 | Reward=-6255.2 +/- 694.4 | IS=$680.26 | vs TWAP: -4683.0
2026-04-25 13:01:28 | INFO    | Episode  1550 | Reward:  -2835.5 | Loss: 70.4380 | Epsilon: 0.764 | Buffer:  50000 | Speed: 8.7 ep/s
2026-04-25 13:01:33 | INFO    | Episode  1600 | Reward:  -2991.3 | Loss: 70.5532 | Epsilon: 0.756 | Buffer:  50000 | Speed: 8.7 ep/s
2026-04-25 13:01:39 | INFO    | Episode  1650 | Reward:  -3091.2 | Loss: 70.2273 | Epsilon: 0.749 | Buffer:  50000 | Speed: 8.7 ep/s
2026-04-25 13:01:45 | INFO    | Episode  1700 | Reward:  -2887.5 | Loss: 68.0756 | Epsilon: 0.741 | Buffer:  50000 | Speed: 8.7 ep/s
2026-04-25 13:01:51 | INFO    | Episode  1750 | Reward:  -2769.7 | Loss: 66.6567 | Epsilon: 0.733 | Buffer:  50000 | Speed: 8.7 ep/s
2026-04-25 13:01:56 | INFO    | Episode  1800 | Reward:  -2981.6 | Loss: 66.4382 | Epsilon: 0.726 | Buffer:  50000 | Speed: 8.7 ep/s
2026-04-25 13:02:02 | INFO    | Episode  1850 | Reward:  -3059.6 | Loss: 66.0820 | Epsilon: 0.718 | Buffer:  50000 | Speed: 8.7 ep/s
2026-04-25 13:02:08 | INFO    | Episode  1900 | Reward:  -3041.2 | Loss: 66.4153 | Epsilon: 0.711 | Buffer:  50000 | Speed: 8.7 ep/s
2026-04-25 13:02:14 | INFO    | Episode  1950 | Reward:  -3011.5 | Loss: 65.4683 | Epsilon: 0.703 | Buffer:  50000 | Speed: 8.7 ep/s
2026-04-25 13:02:20 | INFO    | Episode  2000 | Reward:  -2885.8 | Loss: 62.6929 | Epsilon: 0.695 | Buffer:  50000 | Speed: 8.6 ep/s
2026-04-25 13:02:22 | INFO    | EVAL @ 2000 | Reward=-6255.2 +/- 694.4 | IS=$680.26 | vs TWAP: -4683.0
2026-04-25 13:02:28 | INFO    | Episode  2050 | Reward:  -2902.1 | Loss: 62.2418 | Epsilon: 0.688 | Buffer:  50000 | Speed: 8.6 ep/s
2026-04-25 13:02:34 | INFO    | Episode  2100 | Reward:  -2985.4 | Loss: 62.3375 | Epsilon: 0.680 | Buffer:  50000 | Speed: 8.6 ep/s
2026-04-25 13:02:40 | INFO    | Episode  2150 | Reward:  -2959.1 | Loss: 60.5034 | Epsilon: 0.673 | Buffer:  50000 | Speed: 8.6 ep/s
2026-04-25 13:02:46 | INFO    | Episode  2200 | Reward:  -2801.5 | Loss: 60.0163 | Epsilon: 0.665 | Buffer:  50000 | Speed: 8.6 ep/s
2026-04-25 13:02:52 | INFO    | Episode  2250 | Reward:  -2729.4 | Loss: 60.7829 | Epsilon: 0.657 | Buffer:  50000 | Speed: 8.5 ep/s
2026-04-25 13:02:58 | INFO    | Episode  2300 | Reward:  -2983.4 | Loss: 58.6466 | Epsilon: 0.650 | Buffer:  50000 | Speed: 8.5 ep/s
2026-04-25 13:03:04 | INFO    | Episode  2350 | Reward:  -3157.1 | Loss: 56.5936 | Epsilon: 0.642 | Buffer:  50000 | Speed: 8.5 ep/s
2026-04-25 13:03:09 | INFO    | Episode  2400 | Reward:  -3087.7 | Loss: 59.3255 | Epsilon: 0.634 | Buffer:  50000 | Speed: 8.6 ep/s
2026-04-25 13:03:16 | INFO    | Episode  2450 | Reward:  -3097.8 | Loss: 59.6787 | Epsilon: 0.627 | Buffer:  50000 | Speed: 8.5 ep/s
2026-04-25 13:03:22 | INFO    | Episode  2500 | Reward:  -3022.2 | Loss: 55.3935 | Epsilon: 0.619 | Buffer:  50000 | Speed: 8.5 ep/s
2026-04-25 13:03:24 | INFO    | EVAL @ 2500 | Reward=-6255.2 +/- 694.4 | IS=$680.26 | vs TWAP: -4683.0
2026-04-25 13:03:30 | INFO    | Episode  2550 | Reward:  -3023.6 | Loss: 52.0421 | Epsilon: 0.612 | Buffer:  50000 | Speed: 8.5 ep/s
2026-04-25 13:03:36 | INFO    | Episode  2600 | Reward:  -3102.6 | Loss: 50.7896 | Epsilon: 0.604 | Buffer:  50000 | Speed: 8.5 ep/s
2026-04-25 13:03:42 | INFO    | Episode  2650 | Reward:  -3007.0 | Loss: 50.8166 | Epsilon: 0.596 | Buffer:  50000 | Speed: 8.5 ep/s
2026-04-25 13:03:48 | INFO    | Episode  2700 | Reward:  -2967.1 | Loss: 50.5121 | Epsilon: 0.589 | Buffer:  50000 | Speed: 8.5 ep/s
2026-04-25 13:03:54 | INFO    | Episode  2750 | Reward:  -3040.6 | Loss: 48.7691 | Epsilon: 0.581 | Buffer:  50000 | Speed: 8.5 ep/s
2026-04-25 13:04:00 | INFO    | Episode  2800 | Reward:  -2888.5 | Loss: 47.4466 | Epsilon: 0.574 | Buffer:  50000 | Speed: 8.4 ep/s
2026-04-25 13:04:06 | INFO    | Episode  2850 | Reward:  -2753.8 | Loss: 48.0196 | Epsilon: 0.566 | Buffer:  50000 | Speed: 8.4 ep/s
2026-04-25 13:04:13 | INFO    | Episode  2900 | Reward:  -2926.9 | Loss: 46.4295 | Epsilon: 0.558 | Buffer:  50000 | Speed: 8.4 ep/s
2026-04-25 13:04:19 | INFO    | Episode  2950 | Reward:  -2951.3 | Loss: 44.5953 | Epsilon: 0.551 | Buffer:  50000 | Speed: 8.4 ep/s
2026-04-25 13:04:25 | INFO    | Episode  3000 | Reward:  -3007.7 | Loss: 45.3691 | Epsilon: 0.543 | Buffer:  50000 | Speed: 8.4 ep/s
2026-04-25 13:04:27 | INFO    | EVAL @ 3000 | Reward=-6255.2 +/- 694.4 | IS=$680.26 | vs TWAP: -4683.0
2026-04-25 13:04:34 | INFO    | Episode  3050 | Reward:  -3065.4 | Loss: 44.3141 | Epsilon: 0.535 | Buffer:  50000 | Speed: 8.4 ep/s
