2026-04-30 12:33:27 | INFO    | Training started — 7500 episodes, 50 max steps
2026-04-30 12:33:33 | INFO    | Episode    50 | Reward:  -2274.4 | Loss: 69.3991 | Epsilon: 0.992 | Buffer:   1565 | Speed: 8.7 ep/s
2026-04-30 12:33:41 | INFO    | Episode   100 | Reward:  -2310.7 | Loss: 71.6776 | Epsilon: 0.985 | Buffer:   3235 | Speed: 7.1 ep/s
2026-04-30 12:33:49 | INFO    | Episode   150 | Reward:  -2307.6 | Loss: 71.4045 | Epsilon: 0.977 | Buffer:   4773 | Speed: 6.9 ep/s
2026-04-30 12:33:58 | INFO    | Episode   200 | Reward:  -2234.8 | Loss: 70.4608 | Epsilon: 0.970 | Buffer:   6677 | Speed: 6.6 ep/s
2026-04-30 12:34:05 | INFO    | Episode   250 | Reward:  -2271.4 | Loss: 68.7223 | Epsilon: 0.962 | Buffer:   8206 | Speed: 6.5 ep/s
2026-04-30 12:34:13 | INFO    | Episode   300 | Reward:  -2443.3 | Loss: 67.1017 | Epsilon: 0.954 | Buffer:   9899 | Speed: 6.5 ep/s
2026-04-30 12:34:21 | INFO    | Episode   350 | Reward:  -2409.3 | Loss: 68.5524 | Epsilon: 0.947 | Buffer:  11396 | Speed: 6.5 ep/s
2026-04-30 12:34:32 | INFO    | Episode   400 | Reward:  -2293.1 | Loss: 68.5057 | Epsilon: 0.939 | Buffer:  13089 | Speed: 6.2 ep/s
2026-04-30 12:34:40 | INFO    | Episode   450 | Reward:  -2266.9 | Loss: 67.0078 | Epsilon: 0.931 | Buffer:  14824 | Speed: 6.2 ep/s
2026-04-30 12:34:49 | INFO    | Episode   500 | Reward:  -2312.1 | Loss: 66.1195 | Epsilon: 0.924 | Buffer:  16641 | Speed: 6.1 ep/s
2026-04-30 12:34:51 | INFO    | EVAL @ 500 | Reward=-4716.3 +/- 743.1 | IS=$680.26 | vs TWAP: -3576.5
2026-04-30 12:35:00 | INFO    | Episode   550 | Reward:  -2384.0 | Loss: 66.7494 | Epsilon: 0.916 | Buffer:  18157 | Speed: 6.0 ep/s
2026-04-30 12:35:10 | INFO    | Episode   600 | Reward:  -2322.9 | Loss: 66.2337 | Epsilon: 0.909 | Buffer:  19855 | Speed: 5.9 ep/s
2026-04-30 12:35:19 | INFO    | Episode   650 | Reward:  -2311.8 | Loss: 65.7237 | Epsilon: 0.901 | Buffer:  21472 | Speed: 5.8 ep/s
2026-04-30 12:35:28 | INFO    | Episode   700 | Reward:  -2307.8 | Loss: 66.9557 | Epsilon: 0.893 | Buffer:  23209 | Speed: 5.8 ep/s
2026-04-30 12:35:36 | INFO    | Episode   750 | Reward:  -2359.3 | Loss: 66.7041 | Epsilon: 0.886 | Buffer:  24820 | Speed: 5.8 ep/s
2026-04-30 12:35:45 | INFO    | Episode   800 | Reward:  -2304.4 | Loss: 64.7307 | Epsilon: 0.878 | Buffer:  26698 | Speed: 5.8 ep/s
2026-04-30 12:35:52 | INFO    | Episode   850 | Reward:  -2312.8 | Loss: 64.4740 | Epsilon: 0.871 | Buffer:  28242 | Speed: 5.8 ep/s
2026-04-30 12:36:01 | INFO    | Episode   900 | Reward:  -2374.9 | Loss: 62.9004 | Epsilon: 0.863 | Buffer:  29977 | Speed: 5.8 ep/s
2026-04-30 12:36:10 | INFO    | Episode   950 | Reward:  -2260.5 | Loss: 61.0688 | Epsilon: 0.855 | Buffer:  31845 | Speed: 5.8 ep/s
2026-04-30 12:36:19 | INFO    | Episode  1000 | Reward:  -2401.7 | Loss: 62.2968 | Epsilon: 0.848 | Buffer:  33611 | Speed: 5.8 ep/s
2026-04-30 12:36:21 | INFO    | EVAL @ 1000 | Reward=-4716.3 +/- 743.1 | IS=$680.26 | vs TWAP: -3576.5
2026-04-30 12:36:30 | INFO    | Episode  1050 | Reward:  -2453.4 | Loss: 60.9833 | Epsilon: 0.840 | Buffer:  35416 | Speed: 5.7 ep/s
2026-04-30 12:36:38 | INFO    | Episode  1100 | Reward:  -2364.4 | Loss: 59.6848 | Epsilon: 0.832 | Buffer:  37213 | Speed: 5.8 ep/s
2026-04-30 12:36:46 | INFO    | Episode  1150 | Reward:  -2463.2 | Loss: 59.5514 | Epsilon: 0.825 | Buffer:  39016 | Speed: 5.8 ep/s
2026-04-30 12:36:54 | INFO    | Episode  1200 | Reward:  -2384.4 | Loss: 57.6860 | Epsilon: 0.817 | Buffer:  40682 | Speed: 5.8 ep/s
2026-04-30 12:37:05 | INFO    | Episode  1250 | Reward:  -2186.6 | Loss: 56.8439 | Epsilon: 0.810 | Buffer:  42183 | Speed: 5.7 ep/s
2026-04-30 12:37:14 | INFO    | Episode  1300 | Reward:  -2232.4 | Loss: 57.1695 | Epsilon: 0.802 | Buffer:  43963 | Speed: 5.7 ep/s
2026-04-30 12:37:22 | INFO    | Episode  1350 | Reward:  -2318.9 | Loss: 56.2292 | Epsilon: 0.794 | Buffer:  45595 | Speed: 5.7 ep/s
2026-04-30 12:37:31 | INFO    | Episode  1400 | Reward:  -2312.2 | Loss: 57.1143 | Epsilon: 0.787 | Buffer:  47500 | Speed: 5.7 ep/s
2026-04-30 12:37:40 | INFO    | Episode  1450 | Reward:  -2360.2 | Loss: 56.5595 | Epsilon: 0.779 | Buffer:  49200 | Speed: 5.7 ep/s
2026-04-30 12:37:50 | INFO    | Episode  1500 | Reward:  -2301.9 | Loss: 53.0833 | Epsilon: 0.772 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:37:53 | INFO    | EVAL @ 1500 | Reward=-2659.3 +/- 336.7 | IS=$670.53 | vs TWAP: -1519.5
2026-04-30 12:38:01 | INFO    | Episode  1550 | Reward:  -2272.9 | Loss: 52.6070 | Epsilon: 0.764 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:38:10 | INFO    | Episode  1600 | Reward:  -2242.4 | Loss: 53.7484 | Epsilon: 0.756 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:38:18 | INFO    | Episode  1650 | Reward:  -2330.3 | Loss: 52.4476 | Epsilon: 0.749 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:38:27 | INFO    | Episode  1700 | Reward:  -2349.2 | Loss: 52.1566 | Epsilon: 0.741 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:38:35 | INFO    | Episode  1750 | Reward:  -2261.3 | Loss: 50.7159 | Epsilon: 0.733 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:38:43 | INFO    | Episode  1800 | Reward:  -2360.4 | Loss: 49.2177 | Epsilon: 0.726 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:38:52 | INFO    | Episode  1850 | Reward:  -2369.5 | Loss: 50.5412 | Epsilon: 0.718 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:39:00 | INFO    | Episode  1900 | Reward:  -2413.0 | Loss: 50.6696 | Epsilon: 0.711 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:39:09 | INFO    | Episode  1950 | Reward:  -2341.3 | Loss: 48.1831 | Epsilon: 0.703 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:39:20 | INFO    | Episode  2000 | Reward:  -2267.7 | Loss: 46.5203 | Epsilon: 0.695 | Buffer:  50000 | Speed: 5.7 ep/s
2026-04-30 12:39:22 | INFO    | EVAL @ 2000 | Reward=-4747.7 +/- 925.5 | IS=$783.88 | vs TWAP: -3607.9
