2026-04-30 12:33:37 | INFO    | Training started — 7500 episodes, 50 max steps
2026-04-30 12:33:44 | INFO    | Episode    50 | Reward:  -2938.9 | Loss: 89.6588 | Epsilon: 0.992 | Buffer:   1656 | Speed: 7.5 ep/s
2026-04-30 12:33:52 | INFO    | Episode   100 | Reward:  -2958.0 | Loss: 91.9928 | Epsilon: 0.985 | Buffer:   3206 | Speed: 6.9 ep/s
2026-04-30 12:34:00 | INFO    | Episode   150 | Reward:  -2913.8 | Loss: 92.6602 | Epsilon: 0.977 | Buffer:   4920 | Speed: 6.7 ep/s
2026-04-30 12:34:08 | INFO    | Episode   200 | Reward:  -2724.7 | Loss: 90.0696 | Epsilon: 0.970 | Buffer:   6574 | Speed: 6.5 ep/s
2026-04-30 12:34:16 | INFO    | Episode   250 | Reward:  -2780.2 | Loss: 88.3959 | Epsilon: 0.962 | Buffer:   8188 | Speed: 6.5 ep/s
2026-04-30 12:34:24 | INFO    | Episode   300 | Reward:  -3035.6 | Loss: 88.1140 | Epsilon: 0.954 | Buffer:   9619 | Speed: 6.5 ep/s
2026-04-30 12:34:34 | INFO    | Episode   350 | Reward:  -2944.0 | Loss: 86.9009 | Epsilon: 0.947 | Buffer:  11255 | Speed: 6.2 ep/s
2026-04-30 12:34:42 | INFO    | Episode   400 | Reward:  -2822.7 | Loss: 87.0853 | Epsilon: 0.939 | Buffer:  12889 | Speed: 6.2 ep/s
2026-04-30 12:34:51 | INFO    | Episode   450 | Reward:  -2845.8 | Loss: 86.0141 | Epsilon: 0.931 | Buffer:  14742 | Speed: 6.1 ep/s
2026-04-30 12:34:59 | INFO    | Episode   500 | Reward:  -2892.4 | Loss: 85.7044 | Epsilon: 0.924 | Buffer:  16226 | Speed: 6.2 ep/s
2026-04-30 12:35:01 | INFO    | EVAL @ 500 | Reward=-6255.2 +/- 694.4 | IS=$680.26 | vs TWAP: -4683.0
2026-04-30 12:35:10 | INFO    | Episode   550 | Reward:  -2914.9 | Loss: 90.5466 | Epsilon: 0.916 | Buffer:  17543 | Speed: 5.9 ep/s
2026-04-30 12:35:19 | INFO    | Episode   600 | Reward:  -2907.0 | Loss: 90.0262 | Epsilon: 0.909 | Buffer:  19103 | Speed: 5.9 ep/s
2026-04-30 12:35:28 | INFO    | Episode   650 | Reward:  -2840.7 | Loss: 84.6036 | Epsilon: 0.901 | Buffer:  20812 | Speed: 5.9 ep/s
2026-04-30 12:35:36 | INFO    | Episode   700 | Reward:  -2844.9 | Loss: 84.2808 | Epsilon: 0.893 | Buffer:  22309 | Speed: 5.9 ep/s
2026-04-30 12:35:44 | INFO    | Episode   750 | Reward:  -2962.8 | Loss: 84.7046 | Epsilon: 0.886 | Buffer:  23999 | Speed: 5.9 ep/s
2026-04-30 12:35:52 | INFO    | Episode   800 | Reward:  -2892.9 | Loss: 82.2323 | Epsilon: 0.878 | Buffer:  25620 | Speed: 6.0 ep/s
2026-04-30 12:36:00 | INFO    | Episode   850 | Reward:  -2944.4 | Loss: 78.6119 | Epsilon: 0.871 | Buffer:  27170 | Speed: 6.0 ep/s
2026-04-30 12:36:08 | INFO    | Episode   900 | Reward:  -3024.0 | Loss: 81.0584 | Epsilon: 0.863 | Buffer:  28897 | Speed: 6.0 ep/s
2026-04-30 12:36:17 | INFO    | Episode   950 | Reward:  -2763.8 | Loss: 83.2077 | Epsilon: 0.855 | Buffer:  30759 | Speed: 5.9 ep/s
2026-04-30 12:36:25 | INFO    | Episode  1000 | Reward:  -2862.5 | Loss: 80.0995 | Epsilon: 0.848 | Buffer:  32198 | Speed: 6.0 ep/s
2026-04-30 12:36:28 | INFO    | EVAL @ 1000 | Reward=-6255.2 +/- 694.4 | IS=$680.26 | vs TWAP: -4683.0
2026-04-30 12:36:35 | INFO    | Episode  1050 | Reward:  -3135.2 | Loss: 78.1265 | Epsilon: 0.840 | Buffer:  33872 | Speed: 5.9 ep/s
2026-04-30 12:36:43 | INFO    | Episode  1100 | Reward:  -3134.4 | Loss: 78.4514 | Epsilon: 0.832 | Buffer:  35610 | Speed: 5.9 ep/s
2026-04-30 12:36:51 | INFO    | Episode  1150 | Reward:  -3225.4 | Loss: 78.8272 | Epsilon: 0.825 | Buffer:  37135 | Speed: 6.0 ep/s
2026-04-30 12:37:01 | INFO    | Episode  1200 | Reward:  -3090.4 | Loss: 78.0473 | Epsilon: 0.817 | Buffer:  39050 | Speed: 5.9 ep/s
2026-04-30 12:37:11 | INFO    | Episode  1250 | Reward:  -2806.3 | Loss: 77.9620 | Epsilon: 0.810 | Buffer:  40797 | Speed: 5.9 ep/s
2026-04-30 12:37:20 | INFO    | Episode  1300 | Reward:  -2917.4 | Loss: 77.4495 | Epsilon: 0.802 | Buffer:  42581 | Speed: 5.8 ep/s
2026-04-30 12:37:29 | INFO    | Episode  1350 | Reward:  -3046.3 | Loss: 76.4331 | Epsilon: 0.794 | Buffer:  44423 | Speed: 5.8 ep/s
2026-04-30 12:37:37 | INFO    | Episode  1400 | Reward:  -2985.0 | Loss: 74.8609 | Epsilon: 0.787 | Buffer:  46057 | Speed: 5.8 ep/s
2026-04-30 12:37:47 | INFO    | Episode  1450 | Reward:  -2935.0 | Loss: 74.5388 | Epsilon: 0.779 | Buffer:  47650 | Speed: 5.8 ep/s
2026-04-30 12:37:56 | INFO    | Episode  1500 | Reward:  -2844.8 | Loss: 74.7724 | Epsilon: 0.772 | Buffer:  49440 | Speed: 5.8 ep/s
