label,step,mean_inventory,std_inventory,mean_mid,std_mid,n_episodes
Full features,0,12000.0,0.0,586.0226000000001,0.09241774721340004,250
Full features,1,11106.24,749.162373854961,586.0043200000002,0.0949449187687196,250
Full features,2,10355.212,1081.2953449710221,585.99138,0.10048380765078693,250
Full features,3,9756.024,1247.874294720427,585.9778599999996,0.10390726827320314,250
Full features,4,9172.972,1272.9629198118862,585.9672000000002,0.10490071496419968,250
Full features,5,8690.208,1272.6749454342228,585.9503400000006,0.10710921715706388,250
Full features,6,8294.28,1272.390591603066,585.9405000000002,0.11341274178857014,250
Full features,7,7918.472,1318.286558080602,585.9337400000002,0.11537206074262508,250
Full features,8,7553.948,1280.8694833182656,585.91912,0.1204467749672011,250
Full features,9,7246.432,1257.7939216644352,585.9161999999995,0.12072017229941678,250
Full features,10,6937.852,1240.9655910201539,585.9088599999994,0.12272652687988446,250
Full features,11,6709.016,1154.964009718052,585.8970599999997,0.13301825588992952,250
Full features,12,6468.704,1106.2320047729588,585.8912799999999,0.13516716169247667,250
Full features,13,6236.184,1083.2733866130004,585.8840200000002,0.13657649724604723,250
Full features,14,6002.864,1060.008493128239,585.87838,0.13847987435003067,250
Full features,15,5797.964,1053.8401409625656,585.87244,0.14380628080859048,250
Full features,16,5574.636,1085.2747225951593,585.8662400000002,0.1433759477736831,250
Full features,17,5363.484,1098.8292941781267,585.8614,0.1520060525110784,250
Full features,18,5163.868,1109.379204138964,585.8582199999997,0.150903053647035,250
Full features,19,4956.572,1109.5383638324543,585.8566800000002,0.15190055167772595,250
Full features,20,4753.596,1105.2156571384608,585.8505999999999,0.15537515888970005,250
Full features,21,4548.856,1124.440360029824,585.8476199999999,0.15908059466823757,250
Full features,22,4334.788,1129.9951535542086,585.8433799999997,0.16413797732395824,250
Full features,23,4102.452,1159.8189409110373,585.8357600000002,0.1655826754222788,250
Full features,24,3884.88,1191.9338578964864,585.8347000000001,0.16529552323035762,250
Full features,25,3692.132,1196.7209175810372,585.8300999999998,0.1664887083258271,250
Full features,26,3501.892,1212.383615996191,585.8263,0.16989646847418188,250
Full features,27,3277.036,1177.0119942906276,585.8186199999999,0.17178648258812718,250
