2026-04-30 12:24:28 | INFO    | Training started — 7500 episodes, 50 max steps
2026-04-30 12:24:34 | INFO    | Episode    50 | Reward:  -2255.3 | Loss: 64.6703 | Epsilon: 0.992 | Buffer:   1717 | Speed: 8.9 ep/s
2026-04-30 12:24:41 | INFO    | Episode   100 | Reward:  -2324.6 | Loss: 64.6388 | Epsilon: 0.985 | Buffer:   3613 | Speed: 7.9 ep/s
2026-04-30 12:24:47 | INFO    | Episode   150 | Reward:  -2382.1 | Loss: 65.6914 | Epsilon: 0.977 | Buffer:   5162 | Speed: 8.0 ep/s
2026-04-30 12:24:53 | INFO    | Episode   200 | Reward:  -2270.2 | Loss: 67.7437 | Epsilon: 0.970 | Buffer:   6664 | Speed: 8.2 ep/s
2026-04-30 12:24:59 | INFO    | Episode   250 | Reward:  -2255.8 | Loss: 69.2611 | Epsilon: 0.962 | Buffer:   8234 | Speed: 8.2 ep/s
2026-04-30 12:25:05 | INFO    | Episode   300 | Reward:  -2384.5 | Loss: 70.0455 | Epsilon: 0.954 | Buffer:   9754 | Speed: 8.2 ep/s
2026-04-30 12:25:11 | INFO    | Episode   350 | Reward:  -2400.6 | Loss: 70.0033 | Epsilon: 0.947 | Buffer:  11424 | Speed: 8.2 ep/s
2026-04-30 12:25:18 | INFO    | Episode   400 | Reward:  -2321.4 | Loss: 69.7849 | Epsilon: 0.939 | Buffer:  13110 | Speed: 8.1 ep/s
2026-04-30 12:25:24 | INFO    | Episode   450 | Reward:  -2321.1 | Loss: 69.3231 | Epsilon: 0.931 | Buffer:  14845 | Speed: 8.1 ep/s
2026-04-30 12:25:30 | INFO    | Episode   500 | Reward:  -2364.4 | Loss: 68.7614 | Epsilon: 0.924 | Buffer:  16558 | Speed: 8.0 ep/s
2026-04-30 12:25:33 | INFO    | EVAL @ 500 | Reward=-4716.3 +/- 743.1 | IS=$680.26 | vs TWAP: -3576.5
2026-04-30 12:25:39 | INFO    | Episode   550 | Reward:  -2296.7 | Loss: 67.6191 | Epsilon: 0.916 | Buffer:  18206 | Speed: 7.8 ep/s
2026-04-30 12:25:46 | INFO    | Episode   600 | Reward:  -2237.4 | Loss: 65.3480 | Epsilon: 0.909 | Buffer:  20079 | Speed: 7.7 ep/s
2026-04-30 12:25:52 | INFO    | Episode   650 | Reward:  -2252.4 | Loss: 64.6116 | Epsilon: 0.901 | Buffer:  21540 | Speed: 7.8 ep/s
2026-04-30 12:25:58 | INFO    | Episode   700 | Reward:  -2284.7 | Loss: 65.5332 | Epsilon: 0.893 | Buffer:  23247 | Speed: 7.8 ep/s
2026-04-30 12:26:04 | INFO    | Episode   750 | Reward:  -2405.1 | Loss: 64.2383 | Epsilon: 0.886 | Buffer:  24697 | Speed: 7.9 ep/s
2026-04-30 12:26:11 | INFO    | Episode   800 | Reward:  -2392.8 | Loss: 63.8879 | Epsilon: 0.878 | Buffer:  26515 | Speed: 7.8 ep/s
2026-04-30 12:26:17 | INFO    | Episode   850 | Reward:  -2372.3 | Loss: 63.1110 | Epsilon: 0.871 | Buffer:  28370 | Speed: 7.8 ep/s
2026-04-30 12:26:24 | INFO    | Episode   900 | Reward:  -2553.5 | Loss: 61.6248 | Epsilon: 0.863 | Buffer:  30164 | Speed: 7.8 ep/s
2026-04-30 12:26:30 | INFO    | Episode   950 | Reward:  -2453.1 | Loss: 61.8015 | Epsilon: 0.855 | Buffer:  31883 | Speed: 7.8 ep/s
