2026-04-30 13:19:22 | INFO    | Training started — 7500 episodes, 50 max steps
2026-04-30 13:19:27 | INFO    | Episode    50 | Reward:  -2429.8 | Loss: 71.1706 | Epsilon: 0.992 | Buffer:   1660 | Speed: 10.1 ep/s
2026-04-30 13:19:33 | INFO    | Episode   100 | Reward:  -2302.8 | Loss: 73.1763 | Epsilon: 0.985 | Buffer:   3020 | Speed: 9.1 ep/s
2026-04-30 13:19:39 | INFO    | Episode   150 | Reward:  -2270.1 | Loss: 75.5777 | Epsilon: 0.977 | Buffer:   4625 | Speed: 8.9 ep/s
2026-04-30 13:19:45 | INFO    | Episode   200 | Reward:  -2285.4 | Loss: 76.0022 | Epsilon: 0.970 | Buffer:   6262 | Speed: 8.9 ep/s
2026-04-30 13:19:50 | INFO    | Episode   250 | Reward:  -2326.1 | Loss: 72.1331 | Epsilon: 0.962 | Buffer:   7833 | Speed: 8.9 ep/s
2026-04-30 13:19:56 | INFO    | Episode   300 | Reward:  -2440.9 | Loss: 71.4897 | Epsilon: 0.954 | Buffer:   9387 | Speed: 8.8 ep/s
2026-04-30 13:20:02 | INFO    | Episode   350 | Reward:  -2390.1 | Loss: 73.0908 | Epsilon: 0.947 | Buffer:  10995 | Speed: 8.7 ep/s
2026-04-30 13:20:08 | INFO    | Episode   400 | Reward:  -2405.7 | Loss: 73.6348 | Epsilon: 0.939 | Buffer:  12478 | Speed: 8.8 ep/s
2026-04-30 13:20:13 | INFO    | Episode   450 | Reward:  -2474.3 | Loss: 72.2195 | Epsilon: 0.931 | Buffer:  14031 | Speed: 8.8 ep/s
2026-04-30 13:20:19 | INFO    | Episode   500 | Reward:  -2465.9 | Loss: 70.7318 | Epsilon: 0.924 | Buffer:  15645 | Speed: 8.9 ep/s
2026-04-30 13:20:21 | INFO    | EVAL @ 500 | Reward=-3931.8 +/- 743.0 | IS=$680.26 | vs TWAP: -2933.6
2026-04-30 13:20:27 | INFO    | Episode   550 | Reward:  -2381.1 | Loss: 71.8062 | Epsilon: 0.916 | Buffer:  17238 | Speed: 8.5 ep/s
2026-04-30 13:20:32 | INFO    | Episode   600 | Reward:  -2375.6 | Loss: 72.1136 | Epsilon: 0.909 | Buffer:  18864 | Speed: 8.5 ep/s
2026-04-30 13:20:39 | INFO    | Episode   650 | Reward:  -2329.1 | Loss: 72.2905 | Epsilon: 0.901 | Buffer:  20664 | Speed: 8.5 ep/s
2026-04-30 13:20:44 | INFO    | Episode   700 | Reward:  -2287.4 | Loss: 70.3840 | Epsilon: 0.893 | Buffer:  22290 | Speed: 8.5 ep/s
2026-04-30 13:20:51 | INFO    | Episode   750 | Reward:  -2339.0 | Loss: 68.5697 | Epsilon: 0.886 | Buffer:  24156 | Speed: 8.4 ep/s
2026-04-30 13:20:57 | INFO    | Episode   800 | Reward:  -2301.5 | Loss: 68.9597 | Epsilon: 0.878 | Buffer:  25864 | Speed: 8.4 ep/s
2026-04-30 13:21:03 | INFO    | Episode   850 | Reward:  -2341.6 | Loss: 68.7285 | Epsilon: 0.871 | Buffer:  27654 | Speed: 8.4 ep/s
2026-04-30 13:21:09 | INFO    | Episode   900 | Reward:  -2400.8 | Loss: 66.5847 | Epsilon: 0.863 | Buffer:  29304 | Speed: 8.4 ep/s
2026-04-30 13:21:15 | INFO    | Episode   950 | Reward:  -2251.6 | Loss: 64.5027 | Epsilon: 0.855 | Buffer:  30889 | Speed: 8.4 ep/s
2026-04-30 13:21:21 | INFO    | Episode  1000 | Reward:  -2254.1 | Loss: 63.0474 | Epsilon: 0.848 | Buffer:  32623 | Speed: 8.4 ep/s
2026-04-30 13:21:23 | INFO    | EVAL @ 1000 | Reward=-3931.8 +/- 743.0 | IS=$680.26 | vs TWAP: -2933.6
2026-04-30 13:21:29 | INFO    | Episode  1050 | Reward:  -2373.9 | Loss: 62.1753 | Epsilon: 0.840 | Buffer:  34302 | Speed: 8.3 ep/s
2026-04-30 13:21:35 | INFO    | Episode  1100 | Reward:  -2449.2 | Loss: 61.9220 | Epsilon: 0.832 | Buffer:  36054 | Speed: 8.3 ep/s
2026-04-30 13:21:42 | INFO    | Episode  1150 | Reward:  -2422.8 | Loss: 61.6670 | Epsilon: 0.825 | Buffer:  37783 | Speed: 8.2 ep/s
2026-04-30 13:21:49 | INFO    | Episode  1200 | Reward:  -2345.8 | Loss: 60.4781 | Epsilon: 0.817 | Buffer:  39592 | Speed: 8.2 ep/s
2026-04-30 13:21:55 | INFO    | Episode  1250 | Reward:  -2311.7 | Loss: 58.3571 | Epsilon: 0.810 | Buffer:  41350 | Speed: 8.2 ep/s
2026-04-30 13:22:01 | INFO    | Episode  1300 | Reward:  -2316.4 | Loss: 58.7658 | Epsilon: 0.802 | Buffer:  42913 | Speed: 8.2 ep/s
2026-04-30 13:22:06 | INFO    | Episode  1350 | Reward:  -2452.9 | Loss: 58.0788 | Epsilon: 0.794 | Buffer:  44596 | Speed: 8.2 ep/s
